screen_name,created_at,tweet_id,text,extended_tweet,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,favorite_count,truncated,language
CintasCorp,5/22/2020 19:09,1.26391E+18,"The Cintas microfiber cleaning system helps achieve the clean you need.

Cintas microfiber mops and wipers, manufac… https://t.co/VJ8K2VL0ND","The Cintas microfiber cleaning system helps achieve the clean you need.

Cintas microfiber mops and wipers, manufac… https://t.co/VJ8K2VL0ND",,,5,14,,en
ANSYS,1/6/2020 17:00,1.21423E+18,"Are you winning the race to mobility?

The age of electrification is coming fast &amp; this is a race that only simulation can win. #CES2020","Are you winning the race to mobility?

The age of electrification is coming fast &amp; this is a race that only simulation can win. #CES2020",,,0,3,,en
Lennar,3/6/2020 14:00,1.23593E+18,We spoke to three couples whose stories end happily—but learning from their ordeal can help you avoid pitfalls alon… https://t.co/IYwc0hNMK2,We spoke to three couples whose stories end happily—but learning from their ordeal can help you avoid pitfalls alon… https://t.co/IYwc0hNMK2,,,0,3,,en
MicronTech,4/13/2020 22:00,1.24982E+18,"We've rounded up some tips and tricks to help you #WFH, plus free virtual #STEM resources for education and fun. En… https://t.co/iL8SlASka2","We've rounded up some tips and tricks to help you #WFH, plus free virtual #STEM resources for education and fun. En… https://t.co/iL8SlASka2",,,0,5,,en
WasteManagement,5/11/2020 20:08,1.25994E+18,"Looking for an easy, quick way to reduce food waste and the number of trips you take to the grocery store? Practice… https://t.co/xRWytaVScM","Looking for an easy, quick way to reduce food waste and the number of trips you take to the grocery store? Practice… https://t.co/xRWytaVScM",,,6,19,,en
DTE_Energy,3/17/2020 13:05,1.2399E+18,Here are a few resources and helpful articles from the Michigan Minority Supplier Development Council to help you f… https://t.co/QnELjlLdeT,Here are a few resources and helpful articles from the Michigan Minority Supplier Development Council to help you f… https://t.co/QnELjlLdeT,,,2,0,,en
MSCI_Inc,4/21/2020 14:49,1.25261E+18,Register for the upcoming “#ESG in #derivatives – the quest for the right methodology” webinar hosted by… https://t.co/qhMBxbdg2x,Register for the upcoming “#ESG in #derivatives – the quest for the right methodology” webinar hosted by… https://t.co/qhMBxbdg2x,,,0,3,,en
MMC_Global,3/9/2020 18:17,1.23708E+18,Join leading energy and #cyber experts as they run participants through a #cyberattack scenario tomorrow March 10.… https://t.co/8zpVhidG4V,Join leading energy and #cyber experts as they run participants through a #cyberattack scenario tomorrow March 10.… https://t.co/8zpVhidG4V,,,4,4,,en
MoodysInvSvc,4/30/2020 15:59,1.25589E+18,Moody’s Olivier Panis comments on Societe Generale’s earnings after the French bank reported a net loss of €326 mil… https://t.co/Tf7m04uwav,Moody’s Olivier Panis comments on Societe Generale’s earnings after the French bank reported a net loss of €326 mil… https://t.co/Tf7m04uwav,,,1,3,,en
Merck,6/9/2020 20:09,1.27045E+18,See our recent #bladdercancer update: https://t.co/zUbWDaUmIF $MRK https://t.co/jJu5rXbtkN,See our recent #bladdercancer update: https://t.co/zUbWDaUmIF $MRK https://t.co/jJu5rXbtkN,,,3,15,,en
citrix,7/1/2020 13:00,1.27831E+18,"By a show of hands, who's had to onboard new employees remotely in the past few months? 🙋🏽‍♀️  It feels ... a bit s… https://t.co/9JW7zhqbHY","By a show of hands, who's had to onboard new employees remotely in the past few months? 🙋🏽‍♀️  It feels ... a bit s… https://t.co/9JW7zhqbHY",,,4,7,,en
BorgWarner,1/28/2020 12:53,1.22214E+18,$BWA announces acquisition of @delphitech as next step in BorgWarner’s balanced propulsion strategy. https://t.co/3MP33KS2YB,$BWA announces acquisition of @delphitech as next step in BorgWarner’s balanced propulsion strategy. https://t.co/3MP33KS2YB,,,5,22,,en
salesforce,5/8/2020 16:44,1.2588E+18,"We reached a new milestone - 5️⃣0️⃣0️⃣K!

Thank you for blazing trails with us. 🥳 https://t.co/u64tMsUQrG","We reached a new milestone - 5️⃣0️⃣0️⃣K!

Thank you for blazing trails with us. 🥳 https://t.co/u64tMsUQrG",,,17,133,,en
lincolnfingroup,3/5/2020 16:00,1.2356E+18,"Thanks to the support of our phenomenal employees, we've been able to build an inclusive culture and make an impact… https://t.co/PHFDqDKPVj","Thanks to the support of our phenomenal employees, we've been able to build an inclusive culture and make an impact… https://t.co/PHFDqDKPVj",,,2,6,,en
Kohls,5/23/2020 14:00,1.26419E+18,Find your new favorite scents. Discover clean beauty body care from ScentWorx here: https://t.co/J4Ja1UH9PX #Kohls… https://t.co/YDldHqY7l9,Find your new favorite scents. Discover clean beauty body care from ScentWorx here: https://t.co/J4Ja1UH9PX #Kohls… https://t.co/YDldHqY7l9,,,1,25,,en
AmericanExpress,3/3/2020 20:00,1.23493E+18,NEW DATES! Card Members can get #AmexPresale tix now thru 3/5 to see @xtina “The Xperience” at @ZapposTheater in La… https://t.co/aAND0bMvIK,NEW DATES! Card Members can get #AmexPresale tix now thru 3/5 to see @xtina “The Xperience” at @ZapposTheater in La… https://t.co/aAND0bMvIK,,,4,12,,en
ValeroEnergy,5/28/2020 19:09,1.26608E+18,A quick look around the house and you’ll see how much we depend on petroleum-based products. #InItTogether https://t.co/8cK1O3Ky4f,A quick look around the house and you’ll see how much we depend on petroleum-based products. #InItTogether https://t.co/8cK1O3Ky4f,,,3,10,,en
askRegions,2/21/2020 17:00,1.2309E+18,"Debit card #fraud is not a new thing, but the way it happens is constantly evolving. We want to help ensure your fi… https://t.co/98Dv287F0R","Debit card #fraud is not a new thing, but the way it happens is constantly evolving. We want to help ensure your fi… https://t.co/98Dv287F0R",,,1,2,,en
Sysco,3/10/2020 19:36,1.23746E+18,"Earlier this winter, the City of St. John’s in Newfoundland, Canada, issued a State of Emergency which closed busin… https://t.co/G2ROXtSuMY","Earlier this winter, the City of St. John’s in Newfoundland, Canada, issued a State of Emergency which closed busin… https://t.co/G2ROXtSuMY",,,3,13,,en
